Time,0.3,0.5,1.0,2.5,5.0,10,Temperature,Pressure,Humidity
1771628348.6276734,576,162,23,0,0,0,11.342109375,1006.1203929278691,45.461447104115976
1771628349.6404607,576,162,23,0,0,0,11.332148437499999,1006.111839948257,45.44874530091094
1771628350.6533267,576,162,23,0,0,0,11.321210937499998,1006.1133417913303,45.39532769331558
1771628351.6662116,570,164,25,0,0,0,11.305390625000001,1006.1165888141054,45.370388685326205
1771628352.6791012,570,164,25,0,0,0,11.286835937500001,1006.1151895676525,45.345154457994454
1771628353.691899,570,164,25,0,0,0,11.272187500000001,1006.1204247364062,45.32615190735621
1771628354.7041204,576,162,25,0,0,0,11.26203125,1006.1165575833376,45.296051018901274
1771628355.7176185,576,162,25,0,0,0,11.246992187499998,1006.1144344591079,45.22485672650478
1771628356.7315853,576,162,25,0,0,0,11.232343749999998,1006.1113008707027,45.26961199035644
1771628357.744488,597,166,31,0,0,0,11.221015625,1006.1121340722916,45.24519022385006
1771628358.7573068,597,166,31,0,0,0,11.210078124999999,1006.1236690202361,45.20343498199571
1771628359.7698202,597,166,31,0,0,0,11.199335937499999,1006.128842509949,45.24281643877379
1771628360.782838,636,170,25,0,0,0,11.1946484375,1006.1359365429914,45.23650889503338
1771628361.7961507,636,170,25,0,0,0,11.193085937500001,1006.1232434922682,45.189990246799354
1771628362.810837,636,170,25,0,0,0,11.1909375,1006.1329780239811,45.201340919218666
1771628363.82405,729,193,27,1,0,0,11.193085937500001,1006.1215704167205,45.230543705832204
1771628364.8369637,729,193,27,1,0,0,11.198359374999999,1006.1238372280878,45.27168462302736
1771628365.850191,729,193,27,1,0,0,11.204999999999998,1006.1200611512712,45.28400360991995
1771628366.863115,741,197,25,1,0,0,11.210078124999999,1006.1153034235216,45.31933994661325
1771628367.876009,741,197,25,1,0,0,11.217500000000001,1006.117873501614,45.331748772387016
1771628368.8889396,741,197,25,1,0,0,11.215742187499998,1006.1182334719222,45.34315185386129
1771628369.9015229,792,205,25,1,0,0,11.210078124999999,1006.1219959006916,45.34253060171217
1771628370.9137437,792,205,25,1,0,0,11.201289062499999,1006.1221221365314,45.318376403625905
1771628371.9263618,792,205,25,1,0,0,11.188984375,1006.1212944510502,45.31123068601394
1771628372.9393396,810,208,25,1,0,0,11.181171875,1006.1147137796147,45.281393300347126
1771628373.9521155,810,208,25,1,0,0,11.179804687499999,1006.1207562267315,45.27544792974869
1771628374.9644074,810,208,25,1,0,0,11.1829296875,1006.126065430316,45.3279583314599
1771628375.9773128,903,229,28,2,0,0,11.185468749999998,1006.1270330526982,45.363024662381044
1771628376.990145,903,229,28,2,0,0,11.189570312499999,1006.117270718109,45.28231324148283
1771628378.003062,903,229,28,2,0,0,11.193671875,1006.1108543416112,45.28855852366816
1771628379.0159748,909,236,26,2,0,0,11.197382812499999,1006.110466527055,45.352734552433176
1771628380.0286024,909,236,26,2,0,0,11.205390625,1006.1073399282564,45.34781460997429
1771628381.0402193,909,236,26,2,0,0,11.2141796875,1006.1088864614017,45.36617452499817
1771628382.0512114,966,249,26,2,0,0,11.22296875,1006.1171253062388,45.41353752960976
1771628383.0622675,966,249,26,2,0,0,11.232539062499999,1006.119998560724,45.41458867673659
